,type,content_cleaned,label
329,article,recent military study show military personnel evaluated received flu vaccine 36 percent increased risk coronavirus varied benefit preventing strain flu examining noninfluenza virus specifically odds coronavirus human metapneumovirus vaccinated individual significantly higher compared unvaccinated individual 136 151 respectively table 5 flu vaccine studied demonstrated varied benefit flu,1
337,article,copyright 2020 ronpaul institute permission reprint whole part gladly granted provided full credit live link given,1
341,article,ronaldo turning cr7 hotel hospital help stop coronavirus juventus forward cristiano ronaldo best help others coronavirus crisis travelling portugal wake mother maria dolores aveiro suffering stroke 35year old remained native country order self isolate decision come juventus teammate daniele rugani tested positive coronavirus photographed squad day,1
343,article,rush transcript copy may final form may updated 200000 tapper good evening washington dc welcome unique event cnn univision democratic presidential debate two leading candidate democratic nomination former vice president joe biden vermont senator bernie sander candidate welcome good jake tapper along cnn dana bash univision ilium calderon bash co,1
357,article,mayor lo walker bossier city police dept issued 9 pm curfew resident notice may use road required inside residence till 6 apply people traveling interstate complying could land jail time fine bos,1
363,article,reason 432234 pretend wrong gender one history world ever transitioned might want consider latest health update suggest transgender people susceptible coronavirus take dress tom going catch flu according reuters 100 lgbt right group wednesday called public health official address heightened vulnerability gay trans people coronavirus warn,1
364,article,american see democrat left behind hyped medium coverage societal reaction coronavirus pandemic new york time god bless em proved suspicion correct would nt know strategy familiar one use manufactured crisis get rid president donald trump oh true coronavirus real enough given far minuscule infection rate u 1600 death rate 40 fact half patien,1
366,article,thousand flight around world canceled due novel coronavirus decreased number people found international airport country like south korea china italy international air transport association predicted 293 billion loss passenger revenue year covid19 international airport around world become increasingly empty flight canceled travel warning issue,1
377,article,20 year cast away sequel world waiting finally arrived like first smash hit next cast away film feature tom hank stranded south pacific island except time island australia news break confirmed tom hank wife rita wilson taken gold coast hospital diagnosed covid19 hollywood star working baz lurhmann film elvis gold coast celeb,1
378,article,former american counter terrorism specialist military intelligence officer cia said coronavirus occur naturally mutation rather produced laboratory possibly biological warfare agent since novel coronavirus outbreak began china last december infected 90000 people globally killed 3000 majority case death remain mainland china death toll coronavirus iran whic,1
383,article,30 year air simpson created enough content drive fan ask crystal ball satire simply come wave history tends repeat current event led fan highlight old simpson clip correction previous version article highlighted simpson fan discovered theory show predicted coronavirus tom hank diagnosis coronavirus decade ago got th,1
388,article,british backpacker grace millane strangled death crammed suitcase buried new zealand woodland tinder date december 2018 thursday killer 28year old man sentenced life imprisonment minimum 17 year non parole period court new zealand said statement overall circumstance murder showed high level callousness including intimate nature murder november 2019 trial prosecuti,1
389,article,president fellow american tonight want speak nation unprecedented response coronavirus outbreak started china spreading throughout world today world health organization officially announced global pandemic frequent contact ally marshalling full power federal government private sector protect american people aggressive c,1
402,article,328 immigrant china caught crossing border illegally far year according homeland security data raise prospect coronavirus carrier could sneak country via usmexico border three people south korea another country rapidly spreading case also arrested border 122 people dominican republican coronavirus detected told 1000 migrant day ar,1
403,article,asian man wearing surgical mask passed yesterday middle crowded street queen man rushed hospital according social medium report believed died man cause death yet determined plenty people suspect may died coronavirus video show officer quickly arrived scene seemed unwilling physically assist man perhaps fear unfortunately new york city,1
410,article,document leading doctor show u hospital preparing 96 million coronavirus infection nearly half million death outbreak spread deadly disease could far worse official claim 480000 american expected die virus 48 million hospitalized according presentation hosted american hospital association aha february put crisis level 10 time greater seen severe flu,1
412,article,zambian health ministry statement wednesday morning 10 people zambian tested positive coronavirus statement said government finding way deal issue case confirmed 4th march 2020 second reported zambia since outbreak china january 2020 case involved ten zambian came contact others returned italy fell ill 1st march transf,1
414,article,never let serious crisis go waste rahm emanuel new report detail speaker house nancy pelosi delayed funding allocated helping prevent spread coronavirus knew democrat candidate running office could exploit situation campaign talking point sadly coronavirus tragedy worth exploiting liberal progressive lawmaker press conference wednesday mccarthy said great question hold,1
425,article,omns mar 3 2020 government shanghai china announced official recommendation covid19 treated high amount intravenous vitamin c 1 dosage recommendation vary severity illness 50 200 milligram per kilogram body weight per day much 200 mg kg day dosage approximately 4000 16000 mg adult administered iv specific method administration important say intravenous therapy expert atsuo yanagi,1
426,article,iranian deputy minister health alireza raisi said tuesday total number people coronavirus infection reached 2500 200 people died 435 others recovered infected 23 lawmaker representing eight percent 290seat parliament member alireza raisi according islamic republic news agency irna said 835 new case coronavirus infection tuesday 50 died gilan qom tehran top,1
433,article,president united state america,1
434,article,regard cost let clear hhs designated coronavirus test essential health benefit mean definition covered private health insurance every american well covered medicare medicaid amid ongoing concern new coronavirus vice president mike penny sought assure american health insurance cover test needed diagnosis story produced partnership politifact story c,1
441,article,pope francis show bruise around left eye eyebrow caused accidental hit popemobile window glass visiting old sector cartagena colombia september 10 2017 pope francis canceled lent retreat first time papacy suffering cold tested negative coronavirus italian newspaper il messaggero reported tuesday vatican spokesman matteo bruni said immediate comment report 83yea,1
443,article,fox business lou dobbs relentlessly grilled trump health human service secretary alex azar administration response coronavirus outbreak calling lack transparency refusal call pandemic long contentious segment opening monday night show dobbs drilled hhs secretary federal government mixed message muddled response viral outbreak resulted six american death seem differe,1
449,article,site owner manage site please whitelist ip think block error please open support ticket make sure include block detail displayed box assist troubleshooting issue,1
451,article,sarasota hospital activated protocol handling potential covid19 case said letter patient staff letter obtained content dated march 1 2020 confirms hospital red alert following cdc notification patient tested positive building according source briefed entire situation total least three possibly many 16 individual exposed however figure,1
454,article,vatican confirmed statement pope francis two aide tested positive novel coronavirus three new case add 400 case confirmed italy week pope francis missed planned mass clergy rome yesterday showing coronavirus like symptom vatican earlier said pontiff 83 slight indisposition could proceed rest planned work today pope aide quarantined,1
457,article,corrupt dishonest liberal medium slamming trump anything overblown coronavirus obama far le medium gave pas dreaded swine flu 2009 h1n1 big deal obama nt know hell april 2009 h1n1 became pandemic nt six month later october president obama declared public health emergency already pandemic time disease infec,1
459,article,come novel coronavirus safety center disease control prevention suggestion facial hair hair cross respirator seal cdc said cnn fear grow spread novel coronavirus increasing demand facial mask something interfere effective facial hair side whisker soul patch lampshade handlebar moustache good go according 2017 center f,1
466,article,pingback florida man arrested robbery using cough weapon satire newsmobile comment must log post comment site us akismet reduce spam learn comment data processed,1
472,article,may time show u scalp edge really look like lady word street hair weave lace front manufactured china may contain coronavirus center disease control prevention cdc closely monitoring outbreak respiratory illness caused novel new coronavirus first identified wuhan hubei province china chinese authority identified new coronavirus resulted thousand confirmed case china includi,1
474,article,may time show u scalp edge really look like lady word street hair weave lace front manufactured china may contain coronavirus center disease control prevention cdc closely monitoring outbreak respiratory illness caused novel new coronavirus first identified wuhan hubei province china chinese authority identified new coronavirus resulted thousand confirmed case china includi,1
475,article,face mask respirator used around world effort combat massive global spread deadly coronavirus cdc caution facial hair interfere device cdc infographic display dozen style showing one compatible mask respirator type facial hair keep exhalation valve working properly according health official style side whisker handlebar mustache several others ok,1
476,article,cnn fear grow spread novel coronavirus increasing demand facial mask something interfere effective facial hair side whisker soul patch lampshade handlebar moustache good go according 2017 center disease control prevention infographic filtering facepiece respirator style like long stubble beard dali mutton chop recommended likel,1
477,article,may time show u scalp edge really look like lady word street hair weave lace front manufactured china may contain coronavirus center disease control prevention cdc closely monitoring outbreak respiratory illness caused novel new coronavirus first identified wuhan hubei province china chinese authority identified new coronavirus resulted thousand confirmed case china includi,1
478,article,may time show u scalp edge really look like lady word street hair weave lace front manufactured china may contain coronavirus center disease control prevention cdc closely monitoring outbreak respiratory illness caused novel new coronavirus first identified wuhan hubei province china chinese authority identified new coronavirus resulted thousand confirmed case china includi,1
483,article,emergency meeting beijing held last friday chinese leader xi jinping spoke need contain coronavirus set system prevent similar epidemic future national system control biosecurity risk must put place protect people health xi said lab safety national security issue xi nt actually admit coronavirus devastating large swath china escaped one country bioresearch lab,1
484,article,acting homeland security secretary chad wolf testified senate appropriation subcommittee hearing president trump fiscal year 2021 budget request member asked administration response coronavirus outbreak drug interdiction effort president usmexico border wall 2020 election security homeland security department budget proposal includes approximately 497 billion net discretionary funding along additional 51 billion disaste,1
486,article,rush folk coronavirus thing want try put perspective look like coronavirus weaponized yet another element bring donald trump want tell truth coronavirus interruption think wrong think missing saying interruption yeah dead right coronavirus common cold folk drive medium hype thing pandemic andromeda strain,1
488,article,kid able take lunchbox school pencil case return,1
489,article,people color may immune coronavirus melanin pavel daryl kem senou cameroonian student china became first african person known infected deadly coronavirus first recover source claiming black brown people resists coronavirus superior genetics truth claim started first african infected coronavirus pavel daryl kem senou responded well medical tre,1
493,article,technocrat scientist around world using crispr technology top secret lab develop doomsday type biological warfare weapon wuhan institute virology center likely source coronavirus outbreak tn endorse either greatgameindia dr francis boyle globalist censorship notable significant instance globalist publication foreign policy strongly refuted conspiracy theory january 29 headline,1
500,article,u covid19 news editorial blame mess america besides china course citizen health expert government last month world state shock happening,1
502,article,wuhan china intellihub jiaxing garden guitain fourth road set ablaze monday drastic measure taken attempt control deadly bioengineered coronavirus spread,1
503,article,china intellihub dozen upon dozen residency highrise building structure set fire throughout china presumably attempt contain deadly covid19 outbreak officially record killed hundred unofficially may killed 50000 many fire china right harry chen phd explained recent tweet chen went post video footage region another highrise burn many resident inside,1
505,article,omns january 26 2020 coronavirus pandemic dramatically slowed stopped immediate widespread use high dos vitamin c physician demonstrated powerful antiviral action vitamin c decade lack medium coverage effective successful approach virus general coronavirus particular important maximize body anti oxidative capacity natural immunity prevent minimize symptom,1
506,article,omns january 26 2020 coronavirus pandemic dramatically slowed stopped immediate widespread use high dos vitamin c physician demonstrated powerful antiviral action vitamin c decade lack medium coverage effective successful approach virus general coronavirus particular important maximize body anti oxidative capacity natural immunity prevent minimize symptom,1
510,article,omns january 26 2020 coronavirus pandemic dramatically slowed stopped immediate widespread use high dos vitamin c physician demonstrated powerful antiviral action vitamin c decade lack medium coverage effective successful approach virus general coronavirus particular important maximize body anti oxidative capacity natural immunity prevent minimize symptom,1
511,article,alex jones break scientific study showing coronavirus key structural protein hiv indicating virus man made developed laboratory setting also tune infowarscomshow original article mike adam natural news appears two day ago paper published biorxivorg journal presented finding indicated coronavirus appeared engineered key structural protein hiv paper entitled uncanny similarity,1
513,article,natural news every virology lab world run genomic analysis coronavirus know coronavirus engineered human scientist proof virus tool genetic insertion still present remnant genetic code since unique gene sequence nt occur random chance proof virus engineered scientist lab cdc covering inconvenient fact order protect commu,1
516,article,update 1040et science move fast outbreak like dr feigl ding issued tweet clarifying correcting information cited thread included though beforehand acknowledged paper conclusion bat shit wild need scrutinized scientific community immediately situation fluid know researcher discover next past day mainstream press vigorously pushed back agai,1
517,article,seems like tried open page nt exist could deleted moved never existed welcome search looking form,1
518,article,update 1040et science move fast outbreak like dr feigl ding issued tweet clarifying correcting information cited thread included though beforehand acknowledged paper conclusion bat shit wild need scrutinized scientific community immediately situation fluid know researcher discover next past day mainstream press vigorously pushed back agai,1
520,article,natural news long chinese coronavirus started making global headline john hopkins center health security partnership world economic forum bill melinda gate foundation held high level pandemic exercise called event 201 seems predictive blueprint transpiring coronavirus outbreak october 18 2019 representative aforementioned group descended new york city discus,1
525,article,novel coronavirus outbreak affecting china many country right determined military bio weapon worked wuhan virology laboratory china people liberation army nanjiang command somehow got world facing massive wipe humanity result proof virus genetically modified bat sars like virus manipulated chinese army appears evidence irrefutable two separat,1
531,article,natural news breaking u news medium currently running one two day behind chinese medium covering bombshell revelation surrounding coronavirus pandemic natural news chinese speaking investigator ground taiwan scanning chinese medium important announcement earlier today taiwan medium began reporting new mainland chinese study specifically looked individual involved wuhan coronavirus,1
532,article,appropriate representation requested resource could found server error generated mod_security,1
533,article,requested page website wwwreact365com cloudflare network cloudflare currently unable resolve requested domain wwwreact365com two potential cause likely owner signed cloudflare take minute website information distributed global network le likely something wrong site configuration usually happens account signed pa,1
537,article,student department pharmaceutical chemistry kwame nkrumah university science technology knust successfully created tested coronavirus vaccine 8mmeber medical student team knust completed work vaccine last week travelled ivory coast first case coronavirus reported country weekend student told press two china exchange program first case virus infection w,1
538,article,bill melinda gate foundation co hosted pandemic exercise late 2019 simulated global coronavirus outbreak also happen fund group owns patent deadly virus working vaccine solve crisis june 19 2015 uk government funded pirbright institute filed application patent live coronavirus approved nov 20 2018 suspiciously pirbright institute primary funder bill melinda gate,1
541,article,earlier week reported cover chinese government outbreak coronavirus bill holter jsmineset reporting friend state chinese friend resident wuhan told 10000 dead city falling apart report unconfirmed know reliable source people ground least reliable state government source coronavirus china spreading largely could prevent,1
544,article,last year mysterious shipment caught smuggling coronavirus canada traced chinese agent working canadian lab subsequent investigation greatgameindia linked agent chinese biological warfare program virus suspected leaked causing wuhan coronavirus outbreak note finding investigation corroborated none bioweapon expert dr francis boyle drafted biological weapon convention act fo,1
545,article,unknown connection issue cloudflare origin web server result web page displayed visitor website please try minute owner website issue cloudflare cache origin web server cloudflare monitor error automatically investigates cause help support investigation pull corresponding error log,1
549,article,earlier week reported cover chinese government outbreak coronavirus bill holter jsmineset reporting friend state chinese friend resident wuhan told 10000 dead city falling apart report unconfirmed know reliable source people ground least reliable state government source coronavirus china spreading largely could prevent,1
553,article,three month ago high level pandemic exercise entitled event 201 held new york city october 18th john hopkins center health security conjunction world economic forum bill melinda gate foundation brought together 15 leader business government public health simulate scenario coronavirus pandemic ravaging planet current coronavirus outbreak originated china begin december,1
556,article,update march 11 2020 social medium news outlet theory circulated coronavirus root covid19 outbreak originated research lab scientist say evidence sars cov2 virus escaped lab ralph baric infectious disease researcher university north carolina chapel hill last week november 9 published study team effort engineer virus surface protein shc014 coronavirus found hors,1
559,article,multiple update since first published see bottom outbreak alleged new coronavirus china completely control killing thousand every day 600 pm eastern u time 23 january covert intelligence source former colleague mine 15 year fbi final five year handling national security terrorism foreign counter intelligence joint terrorism task force presently inside china confirm 28 milli,1
565,article,elisa granato first volunteer availed oxford jab first europe human trial vaccine protect coronavirus pandemic died died two day vaccine administered authority said added investigation cause death initiated statement researcher said elisa complication hour taking vaccine died admission elisa granato scientist one,1
566,article,president thank much later evening expect house pas paycheck protection program health care enhancement act grateful congress answering call deliver additional 320 billion relief american worker small business time many american enduring significant economic challenge bill help small business keep million worker payroll see state starting open,1
572,post,snag limbrats daddy 22 towering oak canopy every damn day dog history canine happier happy nt think aim small miss small bushytail fricassee culinary delight,1
573,post,see jeff neff facebook,1
574,post,detected javascript disabled browser would like proceed legacy twitter,1
576,post,see jeff cloud facebook,1
577,post,see theresa ivancik facebook,1
578,post,detected javascript disabled browser would like proceed legacy twitter,1
579,post,see chad hernandez facebook,1
580,post,detected javascript disabled browser would like proceed legacy twitter,1
583,article,error 405 blacklisted kthxbai blacklisted kthxbai,1
586,article,little bit right people,1
588,post,must log continue,1
590,article,peggy hall wwwthehealthyamericanorg explains u department labor occupational safety health administration guideline clearly show cloth surgical mask nt work reduce transmission covid19 deplete body oxygen causing adverse health effect update peggy followed second video titled mask protects dr blaylock face mask pose serious risk healthy wear mask prevent covid19,1
591,article,lot thing pandemic seem bit starting origin reported early february report coronavirus originated wuhan food market false reported virus likely man made probably originated secret bio lab wuhan story widely criticized virtually major medium outlet insisted virus natural transmission originated bat definitely started spreading,1
592,article,president okay thank much today world elder abuse awareness day discus ironclad commitment protecting caring america senior joined vice president mike penny attorney general william barr secretary health human service alex azar secretary housing urban development ben carson way fantastic weekend various interview ben really good job appreciate secretary vetera,1
593,post,see mary elizabeth facebook,1
594,article,donald trump 0000 alex azar secretary housing urban development ben carson way fantastic weekend various interview ben really good job appreciate secretary veteran affair robert wilkie administrator seema verma chief postal inspector united state postal inspection service gary barksdale gary done great job especially spotting drug coming country done fantastic job administration w,1
595,post,want join facebook,1
596,post,want join facebook,1
597,article,bill melinda gate foundation helped negotiate would score 100 billion government backed contact tracing contract august 2019 six month pandemic arrived united state four month swept china listen shocking revelation unveiled thomas paine podcast moore paine show patreon two investigator blew whistle massive clinton foundation tax fraud congressional hearing 20,1
598,post,want join facebook,1
599,post,see entertained facebook,1
600,post,see james carlton facebook,1
601,post,see ashly rose facebook,1
602,post,see doc adam caldwell facebook,1
603,post,see sharontay huff facebook,1
604,article,world health organization official tuesday walked back comment made monday drawing criticism epidemiologist across world dr maria van kerkhove head emerging disease zoonosis unit said tuesday asymptomatic spread really complex question much still unknown nt actually answer yet said responding question press conference nt stating policy anything like,1
605,post,want join facebook,1
606,post,see dan mcghee facebook,1
607,post,see mujin choi facebook,1
608,post,see lucinda pringle facebook,1
609,post,must log continue,1
610,article,could possibly go wrong fast tracking hastily put together vaccine treat illness 26 fatality rate mass producing concoction dissemination medical community want bill gate new vaccine coronavirus began working curiously short time coronavirus went viral could go wrong made public bill gate shoddily hastened vaccine determined make animal test subject,1
611,post,see angel rosado facebook,1
612,article,update previous version article claimed leaked report drafted scientific panel appointed germany interior ministry declared covid19 pandemic global false alarm incorrect document leaked germany interior ministry solicited prepared unit interior ministry healthfeedbackorg explain document question represents private opinion single ministry employee several independent scientist,1
614,post,join group post comment,1
615,post,see greg wilson facebook,1
