,type,content_cleaned
13,article,kid process stress anxiety differently different age parent help tailored child need age getty image like adult kid struggling right struggle manifest parent help varies age younger child may regressing need age appropriate explanation going depression among teenager may rise result physical distancing missing event online counselor
14,article,researcher say people covid19 reported losing sense smell symptom people look getty image researcher say losing one sense smell symptom covid19 anyone recently lost sense smell keep eye symptom fever persistent cough covid19 symptom present best seek medical help loss smell related covid19 sense likely
15,article,expert say cancer survivor well spouse partner experience job lock continue workplace maintain current health insurance getty image researcher say 20 percent cancer survivor job lock stay job mainly keep health insurance expert say cancer survivor take time fully understand health coverage work alternative health insurance affordable care act
16,article,according fda one plasma donation help many four people getty image food drug administration fda encouraging people recovered confirmed infection new coronavirus consider donating plasma injected people severe form infection treatment called variation used treat infectious disease including previous variation coronavirus fda say one donat
17,article,expert say parent practice self care emotionally equipped help child deal anxiety covid19 getty image researcher say child tell parent stress even parent try hide anxiety expert say covid19 pandemic important parent acknowledge stress child age appropriate manner add parent practice self care able take care ch
18,article,expert warn people exposed cleaner disinfectant especially among child getty image call u poison control center chemical cleaner disinfectant surged 20 percent january march 2020 compared prior year report indicates uptick poisoning clearly associated spread mounting worry covid19 different age group showed increase exposure cleaner disinfectant young childr
19,article,cdc recently added new known symptom covid19 getty image expert still learning symptom infection loss smell dizziness rash among symptom covid19 people may miss cardiovascular blood clotting issue also becoming problem people disease data statistic based publicly available data time publication information may date visit coronavirus hub follow li
20,article,even stuck home may able help researcher getty image researcher rice university seeking volunteer crowdsourced study help better understand impact pandemic nt even leave couch get involved research playing role citizen scientist crowdsourced study empowering experience time many people feel vulnerable data statistic based publicly available da
21,article,cdc referred large gathering potential super spreading event could possibly undo progress made battle covid19 getty image despite warning gathering group contribute spread covid19 people meeting large number party beach day political protest spread covid19 linked social gathering center disease control prevention cdc referred gathering
22,article,health expert warn experimental drug found effective made widely available getty image antimalarial drug hydroxychloroquine widely promoted cure covid19 still lack good data true benefit small clinical trial shown possible benefit others shown opposite fda reissued warning people nt take drug without doctor supervision antimalarial drug hydroxychloroquine r
23,article,expert say nursing facility nt really set deal pandemic covid19 getty image expert say nursing facility nt well equipped handle pandemic covid19 recommend family member loved one nursing home communicate many employee possible also recommend regular facetime session loved one well bringing reading material data statistic based publicly available data
24,article,researcher say 25 percent 50 percent people covid19 unaware virus allows novel coronavirus spread rapidly throughout community expert say carrier without symptom make even important people wear face mask public data statistic based publicly available data time publication information may date visit coronavirus hub follow live update page
25,article,fatigue body ache symptom flu novel coronavirus flu usually nt cause shortness breath getty image expert note novel coronavirus flu allergy different symptom main symptom novel coronavirus fever tiredness cough shortness breath allergy chronic symptom include sneezing wheezing coughing flu symptom similar novel coronavirus fever bod
26,article,expert trying determine many people developed covid19 getty image researcher trying determine many people already exposed virus cause covid19 became immune stanford researcher sampled 3000 resident discover many antibody sars cov2 blood also known stanford finding nt yet peer reviewed question raised sample size small another study
27,article,people living diabetes may four time greater risk death covid19 nt live condition getty image new research found people diabetes poorly managed hyperglycemia hospitalized covid19 death rate longer length hospital stay four time higher people without condition forty two percent without prior diagnosis diabetes admitted developed hyperglycemia
28,article,people mild symptom covid19 quickly become seriously ill expert say worsening condition usually caused overreaction immune system symptom first appear expert say important rest stay hydrated even symptom mild also say isolate home symptom data statistic based publicly available data time publication information may date visi
29,article,expert say covid19 sheltering place added burden parent new baby say important new parent seek virtual assistance friend family also advise friend family develop meal train drop food expert also urge new parent practice self care share load child raising housework data statistic based publicly available data time publication information may
30,article,sheltering place people living autism may finding harder daily task facing stress normal daily routine rely disrupted getty image stay home order particularly challenging people living autism right autistic individual could facing emotional distress change brought forth covid19 outbreak sheltering place may finding harder daily task fa
31,article,people drinking alcohol quarantine getty image spike alcohol sale alarmed health expert official around world increased drinking make people even vulnerable respiratory disease like covid19 known risk factor covid19 like diabetes heart disease drink even le data statistic based publicly available data time publication information may date visit
32,article,fight covid19 nurse real life superheroes getty image many nurse around world making huge personal sacrifice help fight covid19 pandemic traveled across country help others found working department never practiced learning new routine protocol go many case also working without proper personal protective equipment ppe need ensure safety
33,article,even people recovery covid19 health issue remain getty image patient covid19 developed acute respiratory distress syndrome ards could greater risk long term health issue additionally people requiring intensive care increased risk mental health issue like post traumatic stress disorder ptsd anxiety depression impaired lung function sars cov2 infection negatively affect organ like heart kidney br
34,article,healthline contacted several public health specialist see think reopening country amid covid19 pandemic expert say sort physical distancing still required long term additionally reopening quickly could mean resurgence virus data statistic based publicly available data time publication information may date visit coronavirus hub follow live update page r
35,article,doctor new york city say rate kidney injury among covid19 patient putting strain dialysis machine treatment equipment getty image doctor new york city say people hospitalized severe case covid19 experiencing kidney damage doctor say phenomenon putting strain dialysis machine equipment used treat kidney injury say national effort needed help new york city emerging health issue wel
36,article,dr sasha shillcutt cardiac anesthesiologist say fellow anesthesiologist level high alert throughout hospital shift image via sasha shillcutt anesthesiologist called front line covid19 pandemic one chief task intubation patient need go ventilator delicate process expose anesthesiologist potential infection anesthesiologist say also emotional component fill
37,article,expert say phone call video chat good way stay touch family member hospitalized covid19 getty image family member learn patient advocate nt allowed visit loved one covid19 hospital expert say phone call video chat best way stay touch hospitalized relative expert say important designate one family member point person talk doctor add
38,article,time day shop much item buy number simple thing make grocery shopping safer everyone pandemic getty image cdc made certain recommendation covid19 pandemic keep u safer considerate shopper mean following guideline also important aware need others everyone able buy food supply need store employee delivery personn
39,article,level physical distancing may needed even next year getty image country come lockdown likely resurgence sars cov2 infection level physical distancing needed well future risk infection spike intermittent physical distancing may needed data statistic based publicly available data time publication information may date visit corona
40,article,world health organization say nt enough evidence understand people may experience reactivation recovery need data determine virus may flare infected people may discover tied back functionality person immune system data statistic based publicly available data time publication information may date visit coronaviru
41,article,paper towel better choice drying hand getty image ongoing covid19 pandemic brought laser focus handwashing hygiene new study find using paper towel effective conventional jet air dryer removing microbe drying poorly washed hand research team discovered much environmental contamination jet air dryer use data statistic based publicly available data time publication
42,article,expert looking keep patient covid19 ventilator possible getty image people covid19 overreaction immune system damage lung anti inflammatory drug may help reduce damage keep ventilator food drug administration also given green light clinical trial compound still studied use condition data statistic based publicly available data th
43,article,physical activity nt take form traditional exercise order beneficial number way get heart rate staying close home getty image expert say remaining physically active covid19 outbreak important way combat disease exercise many benefit including reducing stress boosting immune system physical activity nt take form traditional exercise order b
44,article,expert say rural area older population le healthy fewer medical facility urban suburban region jeremy hogan echo wire barcroft medium via getty image covid19 pandemic already swept city urban center illness appears building like infectious prairie fire rural america well larger town midwest nt case month ago many rural community nt seeing anything sim
45,article,expert say nt need wear glove grocery store especially diligent washing hand touching face getty image expert say wearing glove grocery shopping probably wo nt lower risk contracting virus cause covid19 say glove make conscious touching item well send message people nearby taking precaution center disease control prevention provides tip
46,article,researcher say 25 percent 50 percent people covid19 unaware virus allows novel coronavirus spread rapidly throughout community expert say carrier without symptom make even important people wear face mask public data statistic based publicly available data time publication information may date visit coronavirus hub follow live update page
47,article,california installed strict shelter place order mid march expert say significantly contained covid19 spread early getty image california looking plan slowly lift covid19 shelter place order state fewer covid19 case death state expert say california decision implement stay home order early big factor success battling outbreak add california healthcare system also
48,article,health expert warn experimental drug found effective made widely available getty image antimalarial drug hydroxychloroquine widely promoted cure covid19 still lack good data true benefit small clinical trial shown possible benefit others shown opposite fda reissued warning people nt take drug without doctor supervision antimalarial drug hydroxychloroquine r
49,article,transfer novel coronavirus via clothing unlikely expert agree scenario immediate laundering good idea getty image documented case transmission novel coronavirus via clothing shoe point taking care frequently close proximity individual covid19 laundry often essential part preventive hygiene includes particular high risk individual h
50,article,stress induces production release key stress hormone body huge impact skin getty image staying inside long period time effect skin dry air stress change skincare routine disrupt skin health mild soap moisturizers facial help keep skin healthy data statistic based publicly available data time publication information may
51,article,telehealth option making big difference people seeking medical help covid19 pandemic especially older adult getty image march center medicare medicaid service began allowing medicare beneficiary receive care via telehealth telemedicine best served occurs doctor already relationship help keep patient chronic condition emergency room leave room covid19
52,article,talked expert using herbal remedy amid pandemic getty image herbal remedy long used treat infection virus common cold influenza fever even herpes one biggest problem using herb u many herbal natural remedy low quality certain herb misused could boost immune system even lead cytokine storm data statistic based publicly available data
53,article,expert say staffing level becoming major concern frontline worker become ill covid19 getty image frontline worker police officer firefighter paramedic hospital employee becoming ill covid19 expert say increase due lack personal protective equipment well close contact worker virus staffing level hospital police station ambulance affected expert say emerge
54,article,expert say biology well behavior may among reason men woman developing covid19 dying disease getty image several study shown men dying covid19 woman expert say part reason woman tend stronger immune system men add men also tend engage risky behavior ignoring physical distancing nt take symptom seriously data statistic based p
55,article,currently scientific evidence establishes hiv increased risk factor covid19 expert say nt mean people living hiv nt take extra step protect health getty image currently scientific evidence establishes living hiv increased risk factor covid19 hiv medication used clinical trial see whether combat sars cov2 virus cause covid19 far
56,article,despite high number death early sign united state avoided worst case scenario projection changed time potential public health outcome covid19 one thing expert agree going away anytime soon fall possibility covid19 returning along seasonal flu week expected difficult far death hospitalization related covid19 united stat
57,article,picking right material face mask help keep safe getty image using doubled 600thread count pillowcase flannel pajama could make mask provides 60 percent filtration material used filter dangerous particle include hepa filter vacuum cleaner bag quilters cotton careful material like household air filter may contain fiberglass could still damage lung even filter virus p
58,article,scientist around world working number vaccine treatment covid19 xinhua zhang yuwei via getty image scientist around world working potential treatment vaccine new coronavirus disease known covid19 several company working antiviral drug already use illness treat people already covid19 company working vaccine could used preventive measure aga
59,article,new study report third people united state working home covid19 pandemic also drinking job 36 percent men 26 percent woman said drink work hour expert say alcohol consumption working affect job performance could noticed employer expert also expressed concern possibility heavy alcohol use could increase shelter place order data stat
60,article,new figure indicate covid19 pandemic hitting african american community harder group expert say trend fueled factor higher rate underlying medical condition well lack health service expert say testing done minority community medical service provided data statistic based publicly available data time publication information may date visit
61,article,9 healthier choice may want consider 6 item consider limiting avoid altogether instead said look food rich antioxidant fiber protein healthy fat support energy need keep best important keep mind shelf life nutritional value tempting pack cart cooky sweet treat get mind stressor face food wo nt support immune syst
62,article,expert say false negative covid19 test probably occur due insufficient collecting sample laboratory examination getty image early research indicates common test covid19 may produce false negative 30 percent time expert say inaccuracy probably caused collection sample actual laboratory testing say people covid19 symptom assume illness even test
63,article,expert say establishing consistent daily weekly routine way people feel certainty covid19 isolation among advice daily routine create workspace outside bedroom get dressed going office among advice weekly routine make day consistent still different well selecting certain day exercise special dinner data statistic based publicly available dat
64,article,expert say treating home mild case covid19 similar would treat flu getty image common symptom mild case covid19 include sore throat coughing fever shortcut getting virus best practice advice staying hydrated getting plenty rest monitoring symptom mild symptom follow cdc limit transmission higher risk due
65,article,celebrity musician creating online video help lift people spirit covid19 shelter place order addition people creating sidewalk chalk art putting teddy bear window help ease lockdown isolation expert say effort show people trying shine bright light darker day pandemic data statistic based publicly available data time publication information may da
66,article,expert worried people asymptomatic could still spread virus getty image cdc sparked fiery debate among health expert guidance allow asymptomatic people exposed virus go back work long take certain step expert say guidance could mean triggering second wave covid19 data statistic based publicly available data time publication information may date
67,article,member military tell healthline adequately protected new coronavirus sars cov2 base ship getty image member army air force navy tell healthline fearful developing covid19 ship military base say pentagon enough protect virus close quarter veteran organization also say u department veteran affair providing adequate healthcare vet
68,article,simple way keep house clean covid19 outbreak getty image sars cov2 potentially life threatening pathogen invade living space remarkably easily recent study found sars cov2 persist plastic stainless steel surface 2 3 day according american lung association cleaning agent household product irritate eye throat cause health problem include cancer data
69,article,expert say past research helped speed process covid19 vaccine new potential product still get time consuming scientific step thibault savary afp via getty image past research helping speed search covid19 vaccine approval process probably still take 18 month 2 year expert note potential vaccine still need go rigorous three phase clinical trial process expert add important
70,article,covid19 symptom vary widely different people ranging deadly pneumonia loss smell even symptom many people report mild symptom initially severe fever coughing 80 percent case estimated mild still take severe toll data statistic based publicly available data time publication information may date visit coronavirus hub follow live update page
71,article,expert say nt count supplement way stop covid19 getty image doctor warn relying supplement taking much may harm good many vitamin mineral impact overall immunity single one solely influence immunity want add new supplement talk doctor data statistic based publicly available data time publication information may date visit coronavirus
72,article,expert say people severe mental illness likely contract new coronavirus le likely get proper treatment disease covid19 getty image expert say people severe mental illness face serious issue covid19 pandemic say people mental illness lifestyle increase risk contracting new coronavirus also underlying health condition raise risk developing serious case
73,article,expert say people asthma nt face higher risk contracting covid19 face higher risk serious illness contract virus expert recommend people asthma consult doctor medication people asthma also advised reduce stress take extra precaution around home data statistic based publicly available data time publication information may date visit coron
74,article,distance learning covid19 outbreak provide kid benefit go beyond academic getty image stay home order important child still consistent structure day although kid may learning much would classroom online lesson meeting student help provide social interaction child missing stuck home child schoolwork seems overwhelming speak
75,article,expert learning covid19 could mutate tayfun coskun anadolu agency via getty image every virus mutates part virus life cycle shift change nt always big deal new coronavirus rna virus collection genetic material packed inside protein shell rna virus like flu measles prone change mutation compared dna virus herpes smallpox human papillomavirus hpv new coronavirus sars
76,article,homemade face covering probably wo nt protect covid19 help prevent spreading disease others virus spencer platt getty image confirmed case covid19 continue rise cdc recommending everyone wear cloth mask go public expert say homemade mask wo nt protect someone getting sick help prevent spread disease virus expert also recommend tha
77,article,expert say pet help people feel le lonely well provide joy isolation covid19 outbreak getty image expert say pet help people deal loneliness isolation covid19 shelter place order add pet especially dog help motivate people go outside exercise take break work pet adoption rise covid19 outbreak expert say people take consideration live w
78,article,expert learning antibody test may help fight covid19 horacio villalobos corbis via getty image fda approved first antibody test covid19 several group also working blood test would show whether someone covid19 possibly whether immune type test could help official discover longer risk developing disease data statistic based publicly available data time publication
79,article,sheltering place kid teen going craving interaction friend ca nt replicated online getty image social distancing may particularly difficult child teen child get older socially adept peer group becomes important hub social development immediate family expert say parent may worry impact stay home order child social development th
80,article,caring people alzheimers disease period social distancing challenging following 5 simple tip may help getty image demonstrating wash hand loved one alzheimers disease help ensure practice safe hygiene alzheimers association recommends planning caregiver step case become ill covid19 talk loved one pandemic term understand practice self care yo
81,article,mask used medical personnel focus covid19 shortage expert say product pain reliever saline bag could also affected ina fassbender afp via getty image addition mask glove health official say covid19 pandemic could result shortage medical supply saline bag prescription pain reliever particular concern shortage drug used treat malaria lupus tested poten
82,article,expert saying sign covid19 could become seasonal illness like influenza say better treatment vaccine important covid19 return next year health official australia already told citizen get flu shot early start practicing social distancing southern hemisphere begin enter winter season data statistic based publicly available data time publication information may dat
83,article,expert say covid19 two three time contagious flu virus spread rapidly person person gathering getty image expert noting example across country one social gathering choir practice funeral quickly spread covid19 note illness caused novel coronavirus appears two three time contagious flu add early research indicates people covid19 may transmit
84,article,health care provider take extra step avoid covid19 new york city stephanie keith getty image data statistic based publicly available data time publication information may date visit coronavirus hub follow live update page recent information covid19 outbreak physician tell u like battle new coronavirus epicenter u outbreak new york city regular life become surreal
85,article,medical expert say key stop medication without talking physician getty image concern began study stated ibuprofen boost angiotensin converting enzyme 2 ace2 may facilitate worsen covid19 world health organization warned patient stick acetaminophen say advise using ibuprofen cardiologist advise patient stay medication data statistic based
86,article,knowing buy much help better prepared pandemic getty image course best time shop pandemic begin many thing pandemic prepare nonperishable food water hand prepare sort natural disaster including pandemic necessary hoard pandemic practicing social distancing keeping hand clean help keep safe whi
87,article,expert saying people use e cigarette regular cigarette could face higher risk serious illness covid19 say vaping smoking damage lung make difficult person fight covid19 expert add despite potential serious consequence people vape smoke might still considered high priority patient medical facility say best thing stop smoking vaping
88,article,home healthcare worker using everything televisits protective gear thermometer continue take care people home getty image covid19 outbreak forcing home healthcare worker change treat older adult ill people agency official say worker conducting televisits help avoid transmitting virus client also wearing personal protective gear often carrying thermometer check fever
89,article,covid19 outbreak grows united state people immunocompromised put great danger simply living life majority american sort shelter place order talked two people immunocompromised life amid pandemic estimated 60 percent american live least one chronic health condition put seriously risk complication novel coronavirus data statistic ar
90,article,recent study report covid19 live surface cardboard 24 hour plastic stainless steel 3 day however microbiologist say nt call panic bathroom kitchen area harbor germ home expert say proper cleaning clear away variety germ data statistic based publicly available data time publication information may date visit coronavirus hub foll
91,article,many dentist office closed expert say important ever brush properly floss regularly getty image dentist office closed routine procedure covid19 outbreak dentist urging people brush twice day floss day take care teeth say keeping toothbrush clean also important good dental health data statistic based publicly available data time publication informat
92,article,covid19 may hurt heart according new reserach marco mantovani getty image new study find covid19 cause heart injury even people without underlying heart issue according research chinese center disease control prevention ccdc death rate covid19 patient heart disease 105 percent expert say important people cardiovascular disease isolated people covid19 symptom data statistic b
93,article,expert advise clean grocery marco bello anadolu agency via getty image virus cause covid19 viable 72 hour certain surface taking extra care handling grocery reduce risk exposure expert say simple step keep safe data statistic based publicly available data time publication information may date visit coronavirus hub follow live update
94,article,expert say south korea introduced testing measure quickly efficiently united state response covid19 outbreak seongjoon cho bloomberg via getty image united state reporting 15 time confirmed covid19 case death south korea despite six time population expert say disparity due south korea ramping testing quickly implementing preventive measure school closure earlier
95,article,may seem like simple playdate could negatively impact health child others come contact duration covid19 pandemic getty image despite stay home order current guideline need social distancing parent continue plan playdates kid child parent may heard kid nt risk covid19 accurate child nt risk covid19 c
96,article,sleep deprivation affect immune system make vulnerable illness getty image stress anxiety make getting healthy amount sleep night difficult regularly getting enough quality sleep important component physical mental health sleep deprivation reduce immune system increase inflammation body making vulnerable illness data statistic based publicly available data time
97,article,known case covid19 united state topped 80000 expert think likely far lower actual number case death united state 1100 multiple state issued form shelter place stay home order data statistic based publicly available data time publication information may date visit coronavirus hub follow live update page recent information
98,article,focusing conversation roommate around action responsible step taking social distancing empower getty image million american shared living situation across country facing dilemma convince roommate take covid19 social distancing hygiene measure seriously expert advise open empathic discussion roommate conversation stay calm
99,article,fatigue body ache symptom flu novel coronavirus flu usually nt cause shortness breath getty image expert note novel coronavirus flu allergy different symptom main symptom novel coronavirus fever tiredness cough shortness breath allergy chronic symptom include sneezing wheezing coughing flu symptom similar novel coronavirus fever bod
100,article,medical personnel speaking forced reuse mask glove gown resort making protective medical gear one nurse told healthline allowed one surgical mask per shift center disease control prevention cdc reuse overuse ppe crisis capacity though necessary commensurate u standard care data statistic based publicly available data time publica
101,article,myth circulating covid19 outbreak leading people behave way could endanger health health others getty image flu covid19 cause respiratory illness different dry cough fever fatigue three early symptom commonly associated infection sars cov2 coronavirus cause covid19 disease although older people immunosuppressed greatest risk complication
102,article,stay home order restrict people leaving home anything essential activity intended limit people contact order slow spread disease getty image march 16 2020 u government announced set guideline intended slow spread covid19 individual state begun issue stay home order well stay home order restrict people leaving home anything essen
103,article,expert say expect covid19 pandemic linger least year social distancing protocol empty store shelf occurring along wave infection getty image numerous report computer modeling indicates well see multiple wave covid19 pandemic coming month self isolation wo nt stop disease reduce strain medical resource allowing doctor save life scientist doctor around world workin
104,article,place healthcare worker seriously ill patient getting tested new coronavirus cause covid19 horacio villalobos corbis via getty image place healthcare worker seriously ill patient tested covid19 expert say shortage test kit mask forcing medical professional make tough choice say testing important provide swift proper treatment people contract
105,article,turning alcohol pot substance help ease feeling stress loneliness covid19 outbreak could harm good here expert suggest instead getty image expert advise using substance marijuana alcohol help reduce stress anxiety loneliness social distancing covid19 outbreak context covid19 pandemic behavior present additional problem marijuana inhaled subst
106,article,news death among healthcare worker involved fight new coronavirus highlighted danger disease connecticut least 200 nurse sidelined duty put isolation due lack testing according current cdc guideline depending type exposure presentation symptom healthcare worker could excluded work minimum 2 week none data statistic based publicly avail
107,article,speaking older parent importance social distancing covid19 pandemic challenging expert say following simple tip make big difference getty image getting older parent understand importance social distancing covid19 pandemic may challenging people parent le likely listen advice another person parent trust speak family friend sibling pasto
108,article,simple step take help prep possibility may contract covid19 aid recovery already tested positive start feel mild moderately symptomatic jennifer williams mph research scientist hydration expert medical device consumer product company abbott told healthline mean probably recover home good news estimated 80 percent covid19 china experienced mild mod
109,article,early study indicated antimalarial drug might effective treating covid19 expert say research needed people nt use label medication kay nietfeld picture alliance via getty image data statistic based publicly available data time publication information may date visit coronavirus hub follow live update page recent information covid19 outbreak study publ
110,article,expert say sheltering place home important even nt reported case covid19 community getty image expert say important people town without covid19 case start taking precautionary measure self isolation note people wait covid19 case show already late expert said young adult child mild symptom still spread disease say effort f
111,article,expert contend staying home practicing social distancing key flattening curve covid19 case flattening curve refers slowing number new case hospital nt overwhelmed one time many city state government closed nonessential business limited group gathering data statistic based publicly available data time publication information may date visit coronavirus hub f
112,article,chemotherapy continuing healthcare service postponed people undergoing cancer treatment getty image covid19 outbreak disrupted healthcare service people treated cancer chemotherapy continuing healthcare service postponed expert say delay increase anxiety people already feeling stressed cancer data statistic based publicly available data time p
113,article,expert say isolation boredom trigger people recovering substance use getty image expert say people recovering substance use facing serious relapse issue coronavirus shelter place order say self isolation boredom come trigger relapse drug alcohol use say many organization alcoholic anonymous information people connect using social medium onl
114,article,recent study china concluded people type blood may higher risk contracting new coronavirus people type expert say research interesting study need done verify result expert add past research shown connection blood type illness stomach flu well risk stroke cognitive impairment data statistic based publicly available data
115,article,researcher learning covid19 impacted otc medication getty image expert say clear evidence ibuprofen make covid19 worse one thing specific covid19 lab experiment showing ibuprofen may boost amount ace2 receptor virus us infect cell could make virus spread faster data statistic based publicly available data time publication information may date visit
116,article,expert say giving home deep cleaning bolster immune system encourage healthy eating reduce stress getty image expert say thorough spring cleaning home number health benefit starter clean home strengthen immune system help avoid illness decluttered house also reduce stress depression well help avoid injury data statistic based publicly available data time publication
117,article,jrme salomon france director general health announced 50 percent country covid19 patient intensive care age 60 according cnn report specify age range group patient icu 12 percent age 45 died group 500 patient hospitalized 208 percent age 20 44 18 percent 45 54 united state among almost 2500
118,article,hashtag highriskcovid19 trending twitter story people age immunosuppressed 20 percent people develop covid19 severe critical case according data china people weakened immune system increased risk developing serious complication like pneumonia data statistic based publicly available data time publication information may date visit coronavirus hub
119,article,social distancing responsibility individual take make sure vector disease break chain transmission said may chu phd clinical professor department epidemiology colorado school public health aurora colorado critical everyone practice social distancing sick jones told healthline help vulnerable population like older adult getting virus due delay te
120,article,covid19 outbreak continues spread child may question experiencing increased fear getty image extensive news coverage potentially deadly nature covid19 pandemic child may develop fear risk health safety expert say parent listen childrens fear dismiss talking kid may seeing news hearing peer parent make sure
121,article,expert say people diabetes purchase 90day supply insulin well exercise eat healthy wash hand practice social distancing outbreak getty image expert say people diabetes may higher risk covid19 complication general public although research nt definitive expert recommend people diabetes prepare possible infection purchasing 90day supply insulin say people diabetes
122,article,american red cross say covid19 outbreak drastically reduced blood donation needed surgery transfusion transplant getty image data statistic based publicly available data time publication information may date visit coronavirus hub follow live update page recent information covid19 outbreak new coronavirus testing healthcare system worldwide community across country
123,article,necessary wash hand frequently tip help keep skin becoming dry chapped getty image diligent handwashing may keep germ away may also damage skin washing warm water rather hot keep hand getting dry blotting rather drying hand dry keep abrasion forming hand sanitizer used temporarily place washing hand extremely chapped data statistic based publicly
124,article,hospital preparing surge patient covid19 coming week getty image official number case covid19 topped 7800 expert believe number likely much higher lack testing kit mean many people symptom tested without robust testing health official hard time determining scale outbreak data statistic based publicly available data time publication informa
125,article,cellphone carrier microbial life form including bacteria virus fungi getty image covid19 pandemic important clean commonly touched surface one type surface touch frequently phone touch screen phone touch screen usually cleaned using disinfecting wipe check maker phone first frequency cleaning vary depending habit likelihood exposure data statistic
126,article,expert say connecting others especially similar situation ease loneliness quarantined isolated coronavirus disease outbreak getty image new app called quarantine chat may help people experiencing loneliness isolation covid19 outbreak mental health expert say important people stay connected quarantine well talk others similar situation expert say num
